# Tetrahedron method
       -0.3992660988        0.0000000000
       -0.3753101476        0.0000000000
       -0.3513541964        0.0000000000
       -0.3273982452        0.0000000000
       -0.3034422940        0.0000000000
       -0.2794863428        0.0000000000
       -0.2555303916        0.0000000000
       -0.2315744404        0.0000000000
       -0.2076184892        0.0000000000
       -0.1836625380        0.0000000000
       -0.1597065868        0.0000000000
       -0.1357506356        0.0000000000
       -0.1117946844        0.0000000000
       -0.0878387332        0.0000000000
       -0.0638827820        0.0000000000
       -0.0399268308        0.0000000000
       -0.0159708796        0.0000000000
        0.0079850716        0.0000094728
        0.0319410228        0.0001483749
        0.0558969740        0.0004446260
        0.0798529252        0.0008874565
        0.1038088764        0.0014660968
        0.1277648276        0.0021697771
        0.1517207787        0.0029877279
        0.1756767299        0.0039091795
        0.1996326811        0.0067052841
        0.2235886323        0.0098992019
        0.2475445835        0.0128762771
        0.2715005347        0.0155742242
        0.2954564859        0.0185725877
        0.3194124371        0.0218290426
        0.3433683883        0.0258108477
        0.3673243395        0.0302899961
        0.3912802907        0.0358205724
        0.4152362419        0.0412758819
        0.4391921931        0.0472397039
        0.4631481443        0.0527567960
        0.4871040955        0.0578653773
        0.5110600467        0.0637165122
        0.5350159979        0.0702803830
        0.5589719491        0.0775646188
        0.5829279003        0.0852454066
        0.6068838515        0.0926494598
        0.6308398027        0.1003028435
        0.6547957539        0.1083956679
        0.6787517051        0.1168449665
        0.7027076563        0.1260083428
        0.7266636075        0.1355127724
        0.7506195587        0.1451244458
        0.7745755099        0.1552989628
        0.7985314611        0.1660654177
        0.8224874122        0.1776009131
        0.8464433634        0.1894718568
        0.8703993146        0.2013379512
        0.8943552658        0.2135657150
        0.9183112170        0.2264139910
        0.9422671682        0.2399658799
        0.9662231194        0.2542512956
        0.9901790706        0.2691270456
        1.0141350218        0.2842844994
        1.0380909730        0.2995903361
        1.0620469242        0.3156638174
        1.0860028754        0.3332182958
        1.1099588266        0.3516661871
        1.1339147778        0.3702475937
        1.1578707290        0.3894191070
        1.1818266802        0.4083925986
        1.2057826314        0.4280837365
        1.2297385826        0.4486226984
        1.2536945338        0.4716229409
        1.2776504850        0.4962553894
        1.3016064362        0.5224516808
        1.3255623874        0.5491554956
        1.3495183386        0.5768312696
        1.3734742898        0.6058748416
        1.3974302410        0.6326033486
        1.4213861922        0.6583493270
        1.4453421434        0.6869166280
        1.4692980946        0.7200920200
        1.4932540458        0.7520344968
        1.5172099969        0.7880600765
        1.5411659481        0.8280555632
        1.5651218993        0.8706741113
        1.5890778505        0.9208149266
        1.6130338017        0.9653133430
        1.6369897529        1.0152615140
        1.6609457041        1.0691310875
        1.6849016553        1.1278021378
        1.7088576065        1.1857950653
